TADPOLE,Harvard-Oxford,AAL,Talairach,Atlas
ST58CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,"Left Superior Temporal Gyrus, anterior division+Left Superior Temporal Gyrus, posterior division",Temporal_Sup_L,Superior Temporal Gyrus,AAL
ST59CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,"Left Supramarginal Gyrus, anterior division+Left Supramarginal Gyrus, posterior division",SupraMarginal_L,Supramarginal Gyrus,AAL
ST60CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Left Temporal Pole,Temporal_Pole_Mid_L,Brodmann area 38,Talairach
ST62CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,Brodmann area 41+Brodmann area 42,Talairach
ST64CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST72CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST73CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,"Right Cingulate Gyrus, anterior division",Cingulum_Ant_R,Anterior Cingulate,AAL
ST74CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Right Middle Frontal Gyrus,Frontal_Mid_R,Middle Frontal,AAL
ST81CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,Corpus Callosum,Talairach
ST82CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Right Cuneal Cortex,Cuneus_R,Cuneus,AAL
ST83CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,Brodmann area 28,Talairach
ST84CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Right Frontal Pole,nan,Brodmann area 10,Talairach
ST85CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Right Occipital Fusiform Gyrus,Fusiform_R,Brodmann area 37,AAL
ST87CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,nan,nan,UNDETERMINED
ST90CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,nan,Parietal_Inf_R,Inferior Parietal Lobule,AAL
ST91CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,"Right Inferior Temporal Gyrus, temporooccipital part",Temporal_Inf_R,Inferior Temporal Gyrus,AAL
ST93CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,"Right Cingulate Gyrus, anterior division+Right Cingulate Gyrus, posterior division",nan,Brodmann area 29,Talairach
ST94CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,"Right Lateral Occipital Cortex, superior division+Right Lateral Occipital Cortex, inferior division",Occipital_Mid_R,Middle Occipital Gyrus,AAL
ST95CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Right Frontal Orbital Cortex,Frontal_Mid_Orb_R,Orbital Gyrus,AAL
ST97CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Right Lingual Gyrus,Lingual_R,Lingual Gyrus,AAL
ST98CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Right Frontal Orbital Cortex,Frontal_Med_Orb_R,Orbital Gyrus,AAL
ST99CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,"Right Middle Temporal Gyrus, anterior division+Right Middle Temporal Gyrus, posterior division+Right Middle Temporal Gyrus, temporooccipital part",Temporal_Mid_R,Middle Temporal Gyrus,AAL
